School ID,School Short Name,School Name,Street Address,City,State,ZIP,Phone Number,Website,Managed By Network,Geographic Network,School Track,Overall Rating,On Probation,Years on Probation,NWEA or Scantron,Growth Overall Level,Growth Overall Reading and Math,Reading Growth Grade 3,Reading Growth Grade 4,Reading Growth Grade 5,Reading Growth Grade 6,Reading Growth Grade 7,Reading Growth Grade 8,Reading Growth All Grades,Math Growth Grade 3,Math Growth Grade 4,Math Growth Grade 5,Math Growth Grade 6,Math Growth Grade 7,Math Growth Grade 8,Math Growth All Grades,Student Performance Level,Student Performance Reading and Math,Reading Performance Grade 3,Reading Performance Grade 4,Reading Performance Grade 5,Reading Performance Grade 6,Reading Performance Grade 7,Reading Performance Grade 8,Reading Performance All Grades,Math Performance Grade 3,Math Performance Grade 4,Math Performance Grade 5,Math Performance Grade 6,Math Performance Grade 7,Math Performance Grade 8,Math Performance All Grades,Reading Growth African American,Reading Growth Hispanic,Reading Growth White,Reading Growth Students with Disabilities,Reading Growth English Language Learners,Reading Growth Free and Reduced Lunch,Math Growth African American,Math Growth Hispanic,Math Growth White,Math Growth Students with Disabilities,Math Growth English Language Learners,Math Growth Free and Reduced  Lunch,Overall Foundation,Involved Families,Supportive Environment,Ambitious Instruction,Effective Leaders,Collaborative Teachers,Safety,Misconducts Resulting in Suspensions 2011 - Percent,Misconducts Resulting in Suspensions 2012 - Percent,Average Days of Suspension 2011,Average Days of Suspension 2012,Student Attendance 2011 - Percent,Student Attendance 2012 - Percent,Teacher Attendance 2011 - Percent,Teacher Attendance 2012 - Percent,Healthy School Certified,Blue Ribbon Award,Blue Ribbon Award Year,X Coordinate,Y Coordinate,Latitude,Longitude,Location
610205,Trumbull,Lyman Trumbull Elementary School,5200 N Ashland Ave,Chicago,IL,60640,(773) 534-2430,http://Trumbullschool.org,Ravenswood-Ridge Elementary Network,Ravenswood-Ridge Elementary Network,Standard,Level 3,Yes,2,Scantron,Below Average,41.4%,55.6%,45.5%,17.2%,21.1%,30%,50%,38.2%,68%,50%,32.3%,47.1%,28.6%,46.2%,44.8%,Below Average,30.2%,35.7%,26.5%,15.2%,15.8%,31.3%,41.5%,28.9%,35.7%,38.2%,15.2%,26.3%,25.8%,42.9%,31.6%,,35.7%,,,,39.1%,,38.4%,,,,45.2%,Not Yet Organized,Weak,Neutral,Neutral,Very Weak,Very Weak,Strong,24.8%,63.3%,2.5,3.1,94.3%,92.5%,95.2%,96.3%,No,No,,1164684.8351162176,1934622.0118593457,-87.6697616,41.97621644,"(-87.6697616, 41.97621644)"
610206,Twain,Mark Twain Elementary School,5134 S Lotus Ave,Chicago,IL,60638,(773) 535-2290,http://www.twain.cps.k12.il.us,Midway Elementary Network,Midway Elementary Network,Standard,Level 1,No,0,NWEA,Above Average,56%,46.8%,51.8%,62.5%,55.3%,57.5%,45.7%,53.4%,56.5%,52.3%,52.2%,67.2%,66.9%,54.2%,58.6%,Average,46.8%,51.7%,51.3%,50.4%,41.7%,58.9%,56.7%,51.6%,46.1%,39.1%,37%,33.8%,48.4%,49.2%,42.1%,,53.7%,52.8%,46.7%,43.9%,53.4%,,58.3%,59.7%,38.1%,55.2%,57.8%,Well-organized,Strong,Neutral,Neutral,Very Strong,Strong,Strong,3%,10.8%,5.5,2.1,96.3%,96.4%,97.8%,97.1%,No,No,,1140861.0833341593,1869888.2825843152,-87.75896524,41.79905206,"(-87.75896524, 41.79905206)"
610207,Vanderpoel,John H Vanderpoel Elementary Magnet School,9510 S Prospect Ave,Chicago,IL,60643,(773) 535-2690,http://www.vanderpoel.cps.k12.il.us,Rock Island Elementary Network,Rock Island Elementary Network,Standard,Level 2,No,0,Scantron,Average,53.2%,50%,50%,48.3%,43.3%,55.8%,50.9%,50.4%,66.7%,70%,56%,26.7%,66.7%,50%,56%,Average,53.3%,36.7%,60%,41.4%,46.7%,65.4%,57.9%,53.5%,55.2%,73.3%,60.7%,43.3%,57.7%,38.6%,53.1%,50%,,,,,50%,55.7%,,,,,58.6%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,,,,,97.2%,97.1%,96.2%,96.3%,No,No,,1166544.21314512,1841551.1347303358,-87.66558526,41.72078152,"(-87.66558526, 41.72078152)"
610208,Lavizzo,Mildred I Lavizzo Elementary School,138 W 109th St,Chicago,IL,60628,(773) 535-5300,http://www.edline.net/pages/Lavizzo_Elementary_School,Rock Island Elementary Network,Rock Island Elementary Network,Track E,Level 1,Yes,9,Scantron,Far Above Average,70.7%,31.6%,54%,32.4%,97.4%,93.8%,97.2%,66.7%,75.6%,78.4%,43.8%,81.6%,78.1%,85.7%,74.7%,Below Average,37.4%,12.5%,18.9%,2.8%,57.5%,51.4%,64.9%,33.6%,44.2%,42.6%,11.8%,52.5%,40%,51.4%,41.2%,67.6%,,,53.3%,,67.3%,75.2%,,,53.1%,,75%,Moderately Organized,Neutral,Not Enough Data,Not Enough Data,Neutral,Neutral,Not Enough Data,63.1%,60%,2.2,1.9,91.5%,92.6%,95%,95.4%,Pending,No,,1177114.736208067,1832710.4648325723,-87.62713349,41.69628998,"(-87.62713349, 41.69628998)"
610209,Volta,Alessandro Volta Elementary School,4950 N Avers Ave,Chicago,IL,60625,(773) 534-5080,http://www.volta.cps.k12.il.us,O'Hare Elementary Network,O'Hare Elementary Network,Track E,Level 2,No,0,Scantron,Above Average,60.8%,69.7%,43.8%,54.4%,67.1%,64.7%,72.2%,61.1%,85.1%,50.6%,75.3%,42.9%,47.8%,46.3%,60.4%,Average,48%,42%,33.3%,45.2%,32.5%,46.5%,46.4%,40.5%,62.4%,49.5%,65.2%,40.5%,52.9%,61.4%,55.5%,,57.9%,64.7%,37.5%,54.8%,60.2%,,58.5%,56.3%,62.5%,65.1%,60.3%,Partially Organized,Neutral,Neutral,Neutral,Neutral,Weak,Neutral,13%,16%,3.1,3,96.4%,96.4%,95.9%,95.5%,No,No,,1149774.0948224326,1932831.1512175754,-87.72464139,41.97160605,"(-87.72464139, 41.97160605)"
610210,Von Humboldt,Alexander von Humboldt Elementary School,2620 W Hirsch St,Chicago,IL,60622,(773) 534-4480,http://www.vonhumboldt.cps.k12.il.us,Fulton Elementary Network,Fulton Elementary Network,Standard,Level 2,Yes,6,Scantron,Average,46.5%,48.4%,51.9%,48.5%,47.2%,39.1%,48.3%,47.5%,43.8%,61.5%,40.6%,50%,47.1%,30.8%,45.5%,Far Below Average,29.3%,29%,17.2%,25.7%,25.6%,19.2%,37.9%,25.9%,18.8%,32.1%,41.2%,42.9%,33.3%,26.9%,32.9%,48.8%,45.5%,,,,46.8%,44.2%,45.3%,,,,45.3%,Well-organized,Neutral,Strong,Strong,Very Strong,Strong,Neutral,23.8%,47.2%,2.5,2.6,92.5%,90.6%,96%,95.8%,No,No,,1158554.2317012015,1909250.0207853566,-87.69300325,41.90672216,"(-87.69300325, 41.90672216)"
610212,Albany Park,Albany Park Multicultural Academy,4929 N Sawyer Ave,Chicago,IL,60625,(773) 534-5108,http://www.albany.cps.k12.il.us,O'Hare Elementary Network,O'Hare Elementary Network,Standard,Level 1,No,0,Scantron,Above Average,69.9%,,,,,65.5%,67.7%,66.7%,,,,,79.1%,67.7%,73.2%,Above Average,67.6%,,,,,59%,56%,57.4%,,,,,78.6%,76.8%,77.7%,,65%,,,,66.1%,,73.4%,,,,72.1%,Well-organized,Neutral,Strong,Strong,Neutral,Strong,Strong,50%,,3.9,,97%,96.6%,96.9%,96.1%,No,No,,1153858.196229593,1932691.890938614,-87.70962725,41.9711433,"(-87.70962725, 41.9711433)"
610216,Walsh,John A Walsh Elementary School,2015 S Peoria St,Chicago,IL,60608,(773) 534-7950,http://www.walshschool.org,Pilsen-Little Village Elementary Network,Pilsen-Little Village Elementary Network,Track E,Level 1,No,0,Scantron,Far Above Average,72.5%,62%,76.8%,71.9%,94.7%,64.3%,59.5%,71.4%,63.8%,81.8%,67.6%,92.3%,74.4%,60%,73.5%,Above Average,56.1%,38.5%,50%,41%,80%,63.6%,46.5%,52.6%,38.5%,68.4%,48.8%,84.6%,68.9%,51.2%,59.6%,,71.7%,,56.3%,,71.9%,,74.2%,,63.9%,,74%,Moderately Organized,Not Enough Data,Neutral,Neutral,Not Enough Data,Not Enough Data,Neutral,47.4%,61.5%,3.4,4.3,95.1%,94.8%,95.3%,96.4%,Yes,No,,1170942.0695901625,1890439.5430387594,-87.64804964,41.85484214,"(-87.64804964, 41.85484214)"
610217,"Ward, J",James Ward Elementary School,2701 S Shields Ave,Chicago,IL,60616,(773) 534-9050,http://www.ward.cps.k12.il.us,Pershing Elementary Network,Pershing Elementary Network,Standard,Level 1,No,0,NWEA,Far Above Average,72.8%,70.3%,72.1%,56.4%,61.5%,75%,73.2%,67.9%,94.6%,67.4%,56.4%,76.9%,87.5%,85.4%,77.8%,Above Average,68.9%,59.5%,56.3%,58.5%,63.6%,73.2%,69%,63.3%,70.3%,68.8%,56.1%,78.2%,92.7%,81%,74.6%,61.7%,68.8%,,,67.6%,68.7%,70%,68.8%,,,83.8%,78%,Organized,Neutral,Neutral,Neutral,Strong,Neutral,Strong,,45.8%,,1.5,97.8%,97.7%,96.9%,96.7%,Pending,No,,1174442.7894226494,1886499.0053338187,-87.63531815,41.84395162,"(-87.63531815, 41.84395162)"
610218,Warren,Joseph Warren Elementary School,9239 S Jeffery Ave,Chicago,IL,60617,(773) 535-6625,http://www.warren.cps.k12.il.us,Skyway Elementary Network,Skyway Elementary Network,Standard,Level 2,No,0,Scantron,Average,51.3%,53.1%,60.9%,69.7%,58.8%,43.8%,35%,52.6%,46.9%,59.1%,62.5%,73.5%,37.5%,26.3%,50%,Far Below Average,26.9%,23.5%,43.5%,20.6%,22.9%,17.9%,31%,25.6%,22.9%,40.9%,27.3%,25.7%,33.3%,24.4%,28.3%,52.7%,,,,,52.1%,50.5%,,,,,49.5%,Not Yet Organized,Weak,Weak,Neutral,Weak,Weak,Weak,95.9%,77.9%,2.6,2.5,95%,94.3%,95.3%,94.5%,No,No,,1191168.4546646269,1843939.0667652376,-87.5753162,41.72677474,"(-87.5753162, 41.72677474)"
610219,"Washington, G",George Washington Elementary School,3611 E 114th St,Chicago,IL,60617,(773) 535-5010,http://www.gwashingtonschool.org,Lake Calumet Elementary Network,Lake Calumet Elementary Network,Standard,Level 1,No,0,NWEA,Far Above Average,76.3%,65.8%,74.6%,68.1%,77%,71%,75.8%,71.8%,84.4%,82.1%,64.8%,81.1%,88.2%,82.1%,80.5%,Above Average,57.8%,59.5%,60.3%,55.4%,56.5%,61.4%,66.7%,59.9%,47.5%,50%,46.6%,62.7%,64.3%,64.6%,55.9%,,71.3%,83.9%,76.3%,,72.4%,,80.7%,81.3%,73.7%,,80.3%,Organized,Strong,Weak,Neutral,Strong,Neutral,Neutral,19%,26.5%,2.3,2.8,95.5%,94.3%,95.9%,96.3%,Yes,No,,1202028.5944071077,1829944.8096508388,-87.53600985,41.68810403,"(-87.53600985, 41.68810403)"
610220,Waters,Thomas J Waters Elementary School,4540 N Campbell Ave,Chicago,IL,60625,(773) 534-5090,http://www.waterselementary.org,Ravenswood-Ridge Elementary Network,Ravenswood-Ridge Elementary Network,Standard,Level 1,No,0,Scantron,Above Average,60.3%,62.2%,58%,40.4%,67.7%,54.8%,63%,57.7%,71.1%,76%,61.2%,41.9%,62.5%,51.1%,62.8%,Above Average,57.9%,71.1%,62.3%,48%,46.9%,53.1%,63%,59.5%,55.3%,64.2%,64%,34.4%,53.1%,57.4%,56.2%,,50%,66.7%,,51.5%,55.6%,,58%,70.5%,48.5%,48.6%,58.5%,Well-organized,Very Strong,Neutral,Strong,Strong,Strong,Strong,,,,,96.1%,96.1%,95.1%,96.2%,No,No,,1158841.8988075897,1930252.4591798848,-87.69136881,41.96434835,"(-87.69136881, 41.96434835)"
610221,Webster,Daniel Webster Elementary School,4055 W Arthington St,Chicago,IL,60624,(773) 534-6925,,Garfield-Humboldt Elementary Network,Garfield-Humboldt Elementary Network,Track E,Level 2,No,0,Scantron,Above Average,58.1%,55.6%,43.3%,65.5%,90%,31%,53.1%,56.5%,77.8%,41.4%,69%,72.4%,37.9%,56.3%,59.8%,Below Average,34.6%,30.8%,23.3%,36.7%,48.4%,6.7%,18.8%,27.6%,28.2%,36.7%,53.3%,53.3%,27.6%,53.1%,41.6%,56.5%,,,,,56.5%,59.8%,,,,,59.8%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,100%,,3.2,,94.8%,93%,97.2%,97.6%,No,No,,1149263.6087059644,1895759.8957414022,-87.72748159,41.86988904,"(-87.72748159, 41.86988904)"
610223,Wentworth,Daniel S Wentworth Elementary School,6950 S Sangamon St,Chicago,IL,60621,(773) 535-3394,http://www.wentworth.cps.k12.il.us,Englewood-Gresham Elementary Network,Englewood-Gresham Elementary Network,Track E,Level 3,Yes,6,Scantron,Above Average,61.1%,42.9%,54.5%,51.7%,69.7%,65.2%,68.6%,59.4%,34.5%,66.7%,62.1%,70%,63.2%,79.4%,63%,Below Average,30.9%,6.1%,17.4%,20.7%,25%,20%,34.3%,21%,6.3%,39.1%,55.2%,20.6%,54.5%,74.3%,41.1%,60%,,,,,59.3%,62.9%,,,,,62.9%,Moderately Organized,Neutral,Strong,Strong,Weak,Weak,Neutral,59.8%,87.3%,2.5,3.1,91.6%,89.9%,95.9%,95.5%,No,No,,1171140.3552880406,1858532.5581268382,-87.64825544,41.76728177,"(-87.64825544, 41.76728177)"
610224,West Pullman,West Pullman Elementary School,11941 S Parnell Ave,Chicago,IL,60628,(773) 535-5500,,Lake Calumet Elementary Network,Lake Calumet Elementary Network,Track E,Level 3,Yes,6,Scantron,Above Average,59.1%,77.5%,39.1%,51.7%,34.6%,40%,68.2%,53.1%,82.9%,56.5%,63%,56%,57.1%,65.2%,65.3%,Below Average,32.3%,65.9%,25.9%,25.8%,13.3%,20.5%,26.1%,31.4%,59.5%,16%,17.2%,14.3%,31.3%,50%,33.3%,53.4%,,,,,52.9%,65.7%,,,,,65.6%,Organized,Not Enough Data,Neutral,Strong,Not Enough Data,Not Enough Data,Very Weak,80.8%,,6.5,,91.2%,90.7%,93.8%,94.3%,No,No,,1174831.2499919182,1825538.5025381327,-87.63570683,41.67666008,"(-87.63570683, 41.67666008)"
610225,Whistler,John Whistler Elementary School,11533 S Ada St,Chicago,IL,60643,(773) 535-5560,http://www.whistler.cps.k12.il.us,Lake Calumet Elementary Network,Lake Calumet Elementary Network,Track E,Level 3,Yes,6,Scantron,Average,49%,37.8%,44.4%,41.7%,43.8%,48.6%,58.8%,45.8%,48.6%,63%,41.2%,59.4%,48.6%,55.9%,52.2%,Below Average,31.9%,18.4%,20.7%,32.4%,21.9%,29.7%,40%,27.4%,23.7%,44.8%,42.9%,34.4%,29.7%,45.7%,36.4%,45.8%,,,30.3%,,44.9%,52.2%,,,42.4%,,50.5%,Not Yet Organized,Weak,Neutral,Neutral,Very Weak,Weak,Neutral,46.7%,83.3%,2.1,2,92.4%,90.8%,97%,95.1%,No,No,,1169444.9336943089,1828137.9439241446,-87.65534733,41.68391137,"(-87.65534733, 41.68391137)"
610226,Sandoval,Socorro Sandoval Elementary School,5534 S Saint Louis Ave,Chicago,IL,60629,(773) 535-0457,http://www.Sandoval.cps.k12.il.us,Midway Elementary Network,Midway Elementary Network,Track E,Level 1,No,0,Scantron,Above Average,59.6%,52.6%,52.7%,51.2%,,,,52.2%,77.5%,65.8%,57.4%,,,,67%,Below Average,43.2%,24%,35.8%,27.9%,,,,28.9%,50%,62.3%,60.8%,,,,57.4%,,52.8%,,,53%,52%,,67.6%,,,61.3%,67%,Moderately Organized,Neutral,Not Enough Data,Not Enough Data,Neutral,Neutral,Not Enough Data,25%,60%,4.3,4.3,95.8%,95.6%,96.5%,96%,No,No,,1153950.7515641055,1867537.7329806553,-87.71102417,41.79235177,"(-87.71102417, 41.79235177)"
610227,Whitney,Eli Whitney Elementary School,2815 S Komensky Ave,Chicago,IL,60623,(773) 534-1560,http://www.eliwhitneyschool.net,Pilsen-Little Village Elementary Network,Pilsen-Little Village Elementary Network,Track E,Level 2,No,0,Scantron,Below Average,42.1%,58.8%,38.5%,45.6%,37.2%,50.7%,49.5%,46.6%,52.6%,18.4%,43.3%,36.7%,23.9%,47.2%,37.5%,Below Average,34.2%,25.3%,22.8%,31.5%,37.5%,46.1%,40%,33.1%,31.3%,18.2%,46.3%,30%,45.8%,41.6%,35.3%,,46.6%,,24.2%,39.2%,46.7%,,37.4%,,30.6%,29.6%,37.4%,Moderately Organized,Not Enough Data,Neutral,Neutral,Not Enough Data,Not Enough Data,Neutral,32.9%,48.9%,1.9,2.2,95.8%,94.5%,95.2%,95.4%,Yes,No,,1149877.9797092336,1884894.8042886439,-87.7255084,41.84006197,"(-87.7255084, 41.84006197)"
610228,Whittier,John Greenleaf Whittier Elementary School,1900 W 23rd St,Chicago,IL,60608,(773) 535-4590,http://www.whittier.cps.k12.il.us,Pilsen-Little Village Elementary Network,Pilsen-Little Village Elementary Network,Standard,Level 3,Yes,2,Scantron,Average,49.2%,37%,66.7%,44.8%,54.5%,42.9%,44%,47.4%,44.4%,72.7%,33.3%,72.7%,48.1%,44%,51%,Below Average,39.2%,25.9%,27.3%,19.4%,31.8%,53.6%,32%,31.6%,11.1%,72.7%,53.1%,59.1%,46.4%,44%,46.8%,,47.7%,,,44.6%,47.3%,,50.7%,,,50.9%,51.7%,Partially Organized,Not Enough Data,Weak,Weak,Not Enough Data,Not Enough Data,Neutral,72.2%,18.8%,1.4,2.6,94.9%,94%,96.5%,96%,No,No,,1164042.1736731394,1888805.9994465183,-87.67342126,41.85050786,"(-87.67342126, 41.85050786)"
610229,Pritzker,A.N. Pritzker School,2009 W Schiller St,Chicago,IL,60622,(773) 534-4415,http://www.pritzkerschool.org,Fulton Elementary Network,Fulton Elementary Network,Standard,Level 1,No,0,Scantron,Above Average,61.1%,43.3%,40%,66.7%,79.7%,60.9%,67.6%,60.4%,51.4%,68.3%,62.3%,73.9%,67.7%,47.6%,61.8%,Above Average,65.4%,51.4%,58.3%,62.9%,74%,65.3%,68%,63.6%,43.1%,73.8%,69.4%,78.7%,74.6%,64.9%,67.2%,57.7%,63.6%,61.3%,44.4%,,63%,62.3%,54.7%,73.1%,53.3%,,60.4%,Well-organized,Strong,Neutral,Strong,Neutral,Strong,Strong,37.6%,39.2%,2.6,3.2,94.6%,94.1%,95.6%,94.6%,No,No,,1162693.0960357273,1909391.6477053259,-87.67779555,41.907025,"(-87.67779555, 41.907025)"
610230,Wildwood,Wildwood Elementary School,6950 N Hiawatha Ave,Chicago,IL,60646,(773) 534-1188,http://www.wildwoodworldmagnet.org,O'Hare Elementary Network,O'Hare Elementary Network,Standard,Level 1,No,0,NWEA,Far Above Average,70.4%,49%,54.5%,75.5%,88.6%,90%,87.9%,71.4%,53.8%,64.3%,91.7%,65.9%,78.6%,66.7%,69.4%,Far Above Average,80.6%,74.5%,67.9%,86%,93.3%,93.3%,84.8%,81.8%,77.2%,71.9%,90%,77.8%,75.9%,85.3%,79.4%,,64.6%,74.4%,78.1%,,62.2%,,61.8%,74%,60.6%,,65.7%,Well-organized,Very Strong,Very Strong,Very Strong,Neutral,Neutral,Very Strong,,,,,96.2%,96%,95.7%,95.5%,Yes,No,,1135078.4709297398,1945800.9488999175,-87.77837089,42.00747007,"(-87.77837089, 42.00747007)"
610231,National Teachers,National Teachers Elementary Academy,55 W Cermak Rd,Chicago,IL,60616,(773) 534-9970,http://www.nta.cps.k12.il.us,AUSL Schools,Burnham Park Elementary Network,Track E,Level 2,No,0,NWEA,Above Average,56.8%,70.3%,48.9%,66.7%,42.2%,50%,54.2%,55%,70%,38.6%,64.9%,62.2%,64.5%,51.9%,58.5%,Below Average,39.4%,62.2%,40.8%,26.2%,46.7%,32.4%,39.3%,42%,50%,42.6%,34.1%,42.2%,22.9%,17.9%,36.8%,54.7%,,,45.5%,,54.7%,57.7%,,,63.9%,,57.6%,Organized,Neutral,Strong,Neutral,Neutral,Neutral,Very Strong,90.5%,73.8%,2.1,2.3,94.7%,94.9%,96.3%,96.9%,No,No,,1176061.3917617893,1889726.7567702897,-87.62928114,41.85277255,"(-87.62928114, 41.85277255)"
610232,Williams Es,Williams Multiplex Elementary School,2710 S Dearborn St,Chicago,IL,60616,(773) 534-9245,http://www.williams.cps.k12.il.us,Burnham Park Elementary Network,Burnham Park Elementary Network,Track E,Level 3,Yes,5,Scantron,Below Average,36.9%,45%,23.7%,31.8%,,,,34%,51.3%,37.8%,22.7%,,,,39.8%,Far Below Average,16.5%,18.2%,16.7%,16.7%,,,,17.3%,17.1%,9.5%,24%,,,,15.7%,34.7%,,,,,32.3%,38.5%,,,,,39.6%,Not Yet Organized,Weak,Not Enough Data,Not Enough Data,Weak,Very Weak,Not Enough Data,74.4%,61.8%,1.2,2,91.6%,92.2%,95.9%,95.6%,Pending,No,,1176275.7842262753,1886545.4856580808,-87.62859008,41.84403809,"(-87.62859008, 41.84403809)"
610233,Yale,Elihu Yale Elementary School,7025 S Princeton Ave,Chicago,IL,60621,(773) 535-3190,http://www.elihuyale.org,Skyway Elementary Network,Skyway Elementary Network,Track E,Level 3,Yes,10,Scantron,Below Average,36.5%,15%,54.5%,42.1%,44.4%,55.6%,54.5%,42.3%,30%,28.6%,5.3%,55.6%,42.1%,23.1%,31.1%,Far Below Average,22.2%,9.5%,20%,23.8%,20%,22.7%,16.7%,18.9%,5%,25%,34.8%,25%,40.9%,15.4%,25.4%,42.3%,,,,,42.7%,31.1%,,,,,31.4%,Partially Organized,Not Enough Data,Weak,Weak,Not Enough Data,Not Enough Data,Weak,75.7%,83.6%,2.6,2.9,89.7%,90.9%,97%,95%,No,No,,1175551.2722873166,1858262.1943475257,-87.63209571,41.76644232,"(-87.63209571, 41.76644232)"
610234,Yates,Richard Yates Elementary School,1839 N Richmond St,Chicago,IL,60647,(773) 534-4550,,Fullerton Elementary Network,Fullerton Elementary Network,Track E,Level 2,Yes,4,Scantron,Above Average,56%,63%,50%,48.8%,47.2%,54.7%,80%,56.8%,53.5%,49.1%,61.9%,43.6%,58%,70.5%,55.3%,Below Average,40.7%,37.5%,27.6%,23.9%,19.3%,42.6%,47.8%,32.7%,37.5%,43.1%,60%,53.4%,50.9%,47.8%,48.7%,52.4%,57.3%,,38.8%,40%,56.7%,55.3%,55.9%,,45.7%,56.7%,54.9%,Organized,Neutral,Strong,Strong,Neutral,Neutral,Neutral,46.8%,57.1%,2.1,2.3,93.7%,92.6%,96.2%,96.3%,No,No,,1156561.0825700776,1912262.2582749806,-87.70024324,41.91502858,"(-87.70024324, 41.91502858)"
610235,Young,Ella Flagg Young Elementary School,1434 N Parkside Ave,Chicago,IL,60651,(773) 534-6200,http://www.young.cps.k12.il.us,Austin-North Lawndale Elementary Network,Austin-North Lawndale Elementary Network,Track E,Level 2,No,0,Scantron,Average,46.7%,36.1%,48.8%,45.9%,40.5%,51.5%,54.7%,46.4%,35.2%,46.7%,47.7%,45.2%,66.7%,39.1%,46.9%,Far Below Average,28.9%,24.2%,27.8%,21.6%,24.8%,34.8%,37.5%,28.7%,14.4%,26.3%,21.7%,26.3%,54.1%,30.1%,29.1%,45.9%,55.9%,,35.6%,,46.6%,47.2%,48.5%,,49%,,47.1%,Partially Organized,Weak,Neutral,Neutral,Neutral,Neutral,Weak,53.5%,50.9%,3.5,6.1,94.3%,94.3%,95.4%,95.9%,No,No,,1138362.5363330848,1909130.4053665972,-87.76717934,41.90678358,"(-87.76717934, 41.90678358)"
610237,Beethoven,Ludwig Van Beethoven Elementary School,25 W 47th St,Chicago,IL,60609,(773) 535-1480,,Burnham Park Elementary Network,Burnham Park Elementary Network,Track E,Level 3,Yes,2,Scantron,Average,46.5%,60%,34.6%,44.7%,42.2%,48.8%,51.7%,47.2%,60%,38.5%,2.7%,47.7%,61.4%,65.5%,45.7%,Far Below Average,23.9%,40%,7.4%,10.3%,18.8%,21.7%,24.1%,20.5%,23.3%,7.4%,10.5%,35.4%,29.8%,55.2%,27.4%,47.9%,,,26.5%,,47%,45.9%,,,36.4%,,45.5%,Well-organized,Strong,Strong,Very Strong,Very Strong,Very Strong,Neutral,47.4%,45.9%,3.1,2,93.7%,94.4%,94.7%,92.6%,No,No,,1176782.6104708863,1873820.3310569099,-87.62711401,41.80910779,"(-87.62711401, 41.80910779)"
610238,Bond,Carrie Jacobs Bond Elementary School,7050 S May St,Chicago,IL,60621,(773) 535-3480,http://www.bond.cps.k12.il.us,Englewood-Gresham Elementary Network,Englewood-Gresham Elementary Network,Track E,Level 3,Yes,6,Scantron,Average,47.6%,47.6%,31%,53.8%,36.4%,66.7%,61.5%,48.2%,33.3%,50%,53.6%,50%,50%,46.2%,47%,Far Below Average,26.8%,17.9%,21.9%,6.9%,16%,25%,40%,21.3%,22.6%,21.2%,46.7%,21.4%,37.5%,46.7%,32.1%,48.6%,,,,,47.8%,46.7%,,,,,46.7%,Well-organized,Strong,Strong,Very Strong,Strong,Strong,Strong,88.4%,73.3%,3.8,3.6,91.7%,91.6%,94.3%,95.4%,Pending,No,,1169836.443678646,1857831.503169031,-87.65305514,41.76538639,"(-87.65305514, 41.76538639)"
610239,Daley,Richard J Daley Elementary Academy,5024 S Wolcott Ave,Chicago,IL,60609,(773) 535-9091,http://www.daley.cps.k12.il.us,Pershing Elementary Network,Pershing Elementary Network,Track E,Level 2,No,0,Scantron,Average,47.2%,40.8%,40.7%,31.3%,50%,53.3%,54.3%,45.5%,50.7%,60%,34.9%,50.7%,45.8%,51.3%,48.9%,Below Average,35.9%,18.1%,14.3%,15.6%,32.9%,34.4%,28.9%,24.5%,20.8%,48.2%,53.1%,58.3%,60.3%,46.8%,47.5%,48.3%,44.7%,,,25%,45.8%,55.2%,48%,,,46.5%,48.6%,Organized,Not Enough Data,Neutral,Strong,Not Enough Data,Not Enough Data,Weak,31.4%,24%,1.7,1.3,94.9%,94.4%,96%,94.9%,Yes,No,,1164498.21837182,1871257.705656142,-87.67224309,41.80234381,"(-87.67224309, 41.80234381)"
610240,Henson,Matthew A Henson Elementary School,1326 S Avers Ave,Chicago,IL,60623,(773) 534-1804,http://www.henson.cps.k12.il.us,Austin-North Lawndale Elementary Network,Austin-North Lawndale Elementary Network,Track E,Level 3,Yes,6,Scantron,Below Average,44.9%,18.5%,40.9%,56%,45.8%,38.9%,60.6%,44.3%,23.1%,22.7%,24%,54.2%,70.6%,75.8%,45.6%,Far Below Average,15.3%,7.1%,16.7%,11.1%,12%,13.6%,34.3%,16.8%,3.6%,4.2%,11.1%,20%,28.6%,17.6%,13.8%,44.3%,,,33.3%,,44.6%,45.6%,,,46.7%,,45.9%,Not Yet Organized,Weak,Neutral,Very Weak,Neutral,Weak,Weak,71.1%,73.6%,3.4,2,90.9%,89.5%,95.7%,96.7%,Yes,No,,1150885.7099902688,1893465.1357306454,-87.72158636,41.86356038,"(-87.72158636, 41.86356038)"
